asset_key,entity_type,entity_seed_key,asset_role,file_name,file_path,public_url,alt_text,width,height,dominant_color,notes
offer_007_card,offer,offer_007,card,offer_007_card.jpg,assets/rf/offers/offer_007/card.jpg,,Ночной комбо-набор по спеццене,1200,800,#D97706,Card image для hot deal
offer_008_card,offer,offer_008,card,offer_008_card.jpg,assets/rf/offers/offer_008/card.jpg,,PRO meeting room access,1200,800,#64748B,Card image для pro_only offer
offer_009_card,offer,offer_009,card,offer_009_card.jpg,assets/rf/offers/offer_009/card.jpg,,Private recovery session по приглашению,1200,800,#C08497,Card image для invite_only offer
offer_010_card,offer,offer_010,card,offer_010_card.jpg,assets/rf/offers/offer_010/card.jpg,,Будничная скидка в beauty-студии,1200,800,#DB2777,Card image для weekday beauty offer
offer_011_card,offer,offer_011,card,offer_011_card.jpg,assets/rf/offers/offer_011/card.jpg,,Family play hour по спецусловиям,1200,800,#14B8A6,Card image для family offer
offer_012_card,offer,offer_012,card,offer_012_card.jpg,assets/rf/offers/offer_012/card.jpg,,Бонус к ужин-сету,1200,800,#B45309,Card image для restaurant secondary offer
category_coffee_shops_icon,category,coffee_shops,icon,category_coffee_shops_icon.svg,assets/rf/categories/coffee_shops/icon.svg,,Иконка категории Кофейни,64,64,#6F4E37,Category icon
category_restaurants_icon,category,restaurants,icon,category_restaurants_icon.svg,assets/rf/categories/restaurants/icon.svg,,Иконка категории Рестораны,64,64,#B6463A,Category icon
category_coworking_icon,category,coworking,icon,category_coworking_icon.svg,assets/rf/categories/coworking/icon.svg,,Иконка категории Коворкинги,64,64,#334155,Category icon
category_wellness_icon,category,wellness,icon,category_wellness_icon.svg,assets/rf/categories/wellness/icon.svg,,Иконка категории Велнес,64,64,#3F6F5A,Category icon
category_family_places_icon,category,family_places,icon,category_family_places_icon.svg,assets/rf/categories/family_places/icon.svg,,Иконка категории Для семьи,64,64,#0F766E,Category icon
empty_partners_catalog,empty_state,,illustration,empty_partners_catalog.png,assets/rf/empty/empty_partners_catalog.png,,Иллюстрация пустого каталога партнёров,1200,900,#CBD5E1,Empty state illustration
empty_offers_catalog,empty_state,,illustration,empty_offers_catalog.png,assets/rf/empty/empty_offers_catalog.png,,Иллюстрация пустого каталога предложений,1200,900,#E2E8F0,Empty state illustration
empty_vouchers,empty_state,,illustration,empty_vouchers.png,assets/rf/empty/empty_vouchers.png,,Иллюстрация пустого раздела ваучеров,1200,900,#D1FAE5,Empty state illustration
empty_pro_links,empty_state,,illustration,empty_pro_links.png,assets/rf/empty/empty_pro_links.png,,Иллюстрация пустого раздела PRO-связей,1200,900,#DBEAFE,Empty state illustration
empty_temporary_unavailable,empty_state,,illustration,empty_temporary_unavailable.png,assets/rf/empty/empty_temporary_unavailable.png,,Иллюстрация временной недоступности,1200,900,#FDE68A,Error/temporary state illustration
landing_rf_hero,landing,,hero,landing_rf_hero.jpg,assets/rf/landing/landing_rf_hero.jpg,,Главный hero-баннер RF Asia,1920,1080,#0F172A,Главный визуал для landing
landing_featured_partners,landing,,section_cover,landing_featured_partners.jpg,assets/rf/landing/landing_featured_partners.jpg,,Визуал блока рекомендованных партнёров,1600,900,#475569,Section cover
landing_best_offers,landing,,section_cover,landing_best_offers.jpg,assets/rf/landing/landing_best_offers.jpg,,Визуал блока лучших предложений,1600,900,#7C3AED,Section cover
