listing_id,subtitle,supply_model,partner_id,rf_partner_id,pro_id,district_id,atlas_place_id,atlas_container_place_id,address_public_text,geo_precision,show_public_coordinates,max_guests,floor_text,view_type,summary_short,description_short,listing_mode,instant_use_possible,same_day_check_in,voucher_entry_mode,primary_cta_label,secondary_cta_label,trust_score_label,is_pro_verified,is_rf_verified,hero_media_id,cover_alt,is_active,sort_weight
rielt_phuket_karon_011,Служебный сценарий,curated_rf_partner,partner_phuket_karonnest,rf_partner_phuket_karonnest,pro_phuket_anton,karon,atlas_place_karon,atlas_container_phuket,"Karon, Phuket",exact,true,2,2/4,garden,Negative case для public visibility.,Negative case для public visibility.,short_term,true,false,voucher_first,Получить ваучер,Открыть спецпредложение,Не для публичной витрины,true,true,media_rielt_phuket_karon_011_1,Архивный listing в Кароне,false,89
rielt_bkk_hidden_012,Служебный сценарий,curated_rf_partner,partner_bkk_riverside,rf_partner_bkk_riverside,pro_bangkok_maya,sathon,atlas_place_sathon,atlas_container_bangkok,"Sathon, Bangkok",district_only,false,2,5/8,city,Hidden state для public контуров.,Hidden state для public контуров.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Не для публичной витрины,true,true,media_rielt_bkk_hidden_012_1,Draft listing в Бангкоке,false,88
rielt_phuket_bangtao_013,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_lagunagreen,rf_partner_phuket_lagunagreen,pro_phuket_elena,bang_tao,atlas_place_bang_tao,atlas_container_phuket,"Bang Tao, Phuket",exact,true,2,2/4,garden,Спокойный вариант рядом с пляжем и семейной инфраструктурой.,Спокойный вариант рядом с пляжем и семейной инфраструктурой.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_bangtao_013_1,1BR в Bang Tao рядом с Laguna,true,87
rielt_phuket_bangtao_014,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_lagunagreen,rf_partner_phuket_lagunagreen,pro_phuket_elena,bang_tao,atlas_place_bang_tao,atlas_container_phuket,"Bang Tao, Phuket",exact,true,4,5/8,garden,Комфортный вариант для семьи или пары с ребёнком.,Комфортный вариант для семьи или пары с ребёнком.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_bangtao_014_1,2BR в Laguna на месяц+,true,86
rielt_phuket_surin_015,Проверенный вариант через RF + PRO,curated_rf_partner,partner_phuket_lagunagreen,rf_partner_phuket_lagunagreen,pro_phuket_elena,surin,atlas_place_surin,atlas_container_phuket,"Surin, Phuket",district_only,false,2,2/4,garden,Короткий пляжный stay с быстрым check-in.,Короткий пляжный stay с быстрым check-in.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_phuket_surin_015_1,Студия у Surin Beach,true,85
rielt_bkk_phromphong_016,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_sukhumvibe,rf_partner_bkk_sukhumvibe,pro_bangkok_maya,phrom_phong,atlas_place_phrom_phong,atlas_container_bangkok,"Phrom Phong, Bangkok",exact,true,2,5/8,city,Городской short-stay у BTS и торговых центров.,Городской short-stay у BTS и торговых центров.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_phromphong_016_1,City stay у EmQuartier,true,84
rielt_bkk_phromphong_017,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_sukhumvibe,rf_partner_bkk_sukhumvibe,pro_bangkok_maya,phrom_phong,atlas_place_phrom_phong,atlas_container_bangkok,"Phrom Phong, Bangkok",exact,true,4,2/4,city,Подходит для пары или семьи на 1–6 месяцев.,Подходит для пары или семьи на 1–6 месяцев.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_phromphong_017_1,2BR для релокации в Sukhumvit,true,83
rielt_bkk_ekkamai_018,Проверенный вариант через RF + PRO,curated_rf_partner,partner_bkk_sukhumvibe,rf_partner_bkk_sukhumvibe,pro_bangkok_maya,ekkamai,atlas_place_ekkamai,atlas_container_bangkok,"Ekkamai, Bangkok",district_only,false,2,5/8,city,Тихий жилой вариант рядом с кафе и BTS.,Тихий жилой вариант рядом с кафе и BTS.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_bkk_ekkamai_018_1,1BR в Ekkamai для long stay,true,82
rielt_danang_haichau_019,Проверенный вариант через RF + PRO,curated_rf_partner,partner_danang_riverside,rf_partner_danang_riverside,pro_danang_ivan,hai_chau,atlas_place_hai_chau,atlas_container_da_nang,"Hai Chau, Da Nang",exact,true,2,2/4,garden,Городской вариант для длительного проживания.,Городской вариант для длительного проживания.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_danang_haichau_019_1,1BR у набережной в Hai Chau,true,81
rielt_danang_haichau_020,Проверенный вариант через RF + PRO,curated_rf_partner,partner_danang_riverside,rf_partner_danang_riverside,pro_danang_ivan,hai_chau,atlas_place_hai_chau,atlas_container_da_nang,"Hai Chau, Da Nang",exact,true,2,5/8,garden,Подходит для короткого city stay и первых дней в городе.,Подходит для короткого city stay и первых дней в городе.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_danang_haichau_020_1,Студия в центре Дананга,true,80
rielt_danang_sontra_021,Проверенный вариант через RF + PRO,curated_rf_partner,partner_danang_blueharbor,rf_partner_danang_blueharbor,pro_danang_ivan,son_tra,atlas_place_son_tra,atlas_container_da_nang,"Son Tra, Da Nang",district_only,false,2,2/4,garden,Вариант с видом и коротким трансфером до пляжа.,Вариант с видом и коротким трансфером до пляжа.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_danang_sontra_021_1,Sea-view studio в Son Tra,true,79
rielt_hcmc_thaodien_022,Проверенный вариант через RF + PRO,curated_rf_partner,partner_hcmc_thaodien,rf_partner_hcmc_thaodien,pro_hcmc_artem,thao_dien,atlas_place_thao_dien,atlas_container_ho_chi_minh_city,"Thao Dien, Ho Chi Minh City",exact,true,2,5/8,city,Комфортный long-stay для удалёнщика или пары.,Комфортный long-stay для удалёнщика или пары.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_hcmc_thaodien_022_1,1BR в Thao Dien для nomad stay,true,78
rielt_hcmc_thaodien_023,Проверенный вариант через RF + PRO,curated_rf_partner,partner_hcmc_thaodien,rf_partner_hcmc_thaodien,pro_hcmc_artem,thao_dien,atlas_place_thao_dien,atlas_container_ho_chi_minh_city,"Thao Dien, Ho Chi Minh City",exact,true,2,2/4,city,Короткое проживание в expat-районе.,Короткое проживание в expat-районе.,short_term,true,true,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_hcmc_thaodien_023_1,Serviced studio в Thao Dien,true,77
rielt_hcmc_d3_024,Проверенный вариант через RF + PRO,curated_rf_partner,partner_hcmc_saigonstay,rf_partner_hcmc_saigonstay,pro_hcmc_linh,district_3,atlas_place_district_3,atlas_container_ho_chi_minh_city,"District 3, Ho Chi Minh City",district_only,false,2,5/8,city,Доступный вариант на месяц+ близко к центру.,Доступный вариант на месяц+ близко к центру.,long_term,false,false,voucher_first,Получить ваучер,Открыть спецпредложение,Проверено PRO и RF,true,true,media_rielt_hcmc_d3_024_1,Бюджетный 1BR в District 3,true,76
