listing_media_id,listing_id,media_id,sort_order,is_cover,created_at,deleted_at
listing_media_005_1,rielt_bkk_ari_005,media_rielt_bkk_ari_005_1,0,true,2026-03-21T12:00:00Z,
listing_media_005_2,rielt_bkk_ari_005,media_rielt_bkk_ari_005_2,1,false,2026-03-21T12:00:00Z,
listing_media_005_3,rielt_bkk_ari_005,media_rielt_bkk_ari_005_3,2,false,2026-03-21T12:00:00Z,
listing_media_005_4,rielt_bkk_ari_005,media_rielt_bkk_ari_005_4,3,false,2026-03-21T12:00:00Z,
listing_media_006_1,rielt_bkk_ari_006,media_rielt_bkk_ari_006_1,0,true,2026-03-22T12:00:00Z,
listing_media_006_2,rielt_bkk_ari_006,media_rielt_bkk_ari_006_2,1,false,2026-03-22T12:00:00Z,
listing_media_006_3,rielt_bkk_ari_006,media_rielt_bkk_ari_006_3,2,false,2026-03-22T12:00:00Z,
listing_media_006_4,rielt_bkk_ari_006,media_rielt_bkk_ari_006_4,3,false,2026-03-22T12:00:00Z,
listing_media_007_1,rielt_danang_myan_007,media_rielt_danang_myan_007_1,0,true,2026-03-23T12:00:00Z,
listing_media_007_2,rielt_danang_myan_007,media_rielt_danang_myan_007_2,1,false,2026-03-23T12:00:00Z,
listing_media_007_3,rielt_danang_myan_007,media_rielt_danang_myan_007_3,2,false,2026-03-23T12:00:00Z,
listing_media_007_4,rielt_danang_myan_007,media_rielt_danang_myan_007_4,3,false,2026-03-23T12:00:00Z,
listing_media_008_1,rielt_danang_myan_008,media_rielt_danang_myan_008_1,0,true,2026-03-24T12:00:00Z,
listing_media_008_2,rielt_danang_myan_008,media_rielt_danang_myan_008_2,1,false,2026-03-24T12:00:00Z,
listing_media_008_3,rielt_danang_myan_008,media_rielt_danang_myan_008_3,2,false,2026-03-24T12:00:00Z,
listing_media_008_4,rielt_danang_myan_008,media_rielt_danang_myan_008_4,3,false,2026-03-24T12:00:00Z,
listing_media_009_1,rielt_hcmc_d1_009,media_rielt_hcmc_d1_009_1,0,true,2026-03-25T12:00:00Z,
listing_media_009_2,rielt_hcmc_d1_009,media_rielt_hcmc_d1_009_2,1,false,2026-03-25T12:00:00Z,
listing_media_009_3,rielt_hcmc_d1_009,media_rielt_hcmc_d1_009_3,2,false,2026-03-25T12:00:00Z,
listing_media_009_4,rielt_hcmc_d1_009,media_rielt_hcmc_d1_009_4,3,false,2026-03-25T12:00:00Z,
listing_media_010_1,rielt_hcmc_d1_010,media_rielt_hcmc_d1_010_1,0,true,2026-03-26T12:00:00Z,
listing_media_010_2,rielt_hcmc_d1_010,media_rielt_hcmc_d1_010_2,1,false,2026-03-26T12:00:00Z,
listing_media_010_3,rielt_hcmc_d1_010,media_rielt_hcmc_d1_010_3,2,false,2026-03-26T12:00:00Z,
listing_media_010_4,rielt_hcmc_d1_010,media_rielt_hcmc_d1_010_4,3,false,2026-03-26T12:00:00Z,
listing_media_011_1,rielt_phuket_karon_011,media_rielt_phuket_karon_011_1,0,true,2026-03-27T12:00:00Z,
listing_media_011_2,rielt_phuket_karon_011,media_rielt_phuket_karon_011_2,1,false,2026-03-27T12:00:00Z,
listing_media_012_1,rielt_bkk_hidden_012,media_rielt_bkk_hidden_012_1,0,true,2026-03-28T12:00:00Z,
listing_media_012_2,rielt_bkk_hidden_012,media_rielt_bkk_hidden_012_2,1,false,2026-03-28T12:00:00Z,
listing_media_013_1,rielt_phuket_bangtao_013,media_rielt_phuket_bangtao_013_1,0,true,2026-03-29T12:00:00Z,
listing_media_013_2,rielt_phuket_bangtao_013,media_rielt_phuket_bangtao_013_2,1,false,2026-03-29T12:00:00Z,
listing_media_013_3,rielt_phuket_bangtao_013,media_rielt_phuket_bangtao_013_3,2,false,2026-03-29T12:00:00Z,
listing_media_013_4,rielt_phuket_bangtao_013,media_rielt_phuket_bangtao_013_4,3,false,2026-03-29T12:00:00Z,
listing_media_014_1,rielt_phuket_bangtao_014,media_rielt_phuket_bangtao_014_1,0,true,2026-03-30T12:00:00Z,
listing_media_014_2,rielt_phuket_bangtao_014,media_rielt_phuket_bangtao_014_2,1,false,2026-03-30T12:00:00Z,
listing_media_014_3,rielt_phuket_bangtao_014,media_rielt_phuket_bangtao_014_3,2,false,2026-03-30T12:00:00Z,
listing_media_014_4,rielt_phuket_bangtao_014,media_rielt_phuket_bangtao_014_4,3,false,2026-03-30T12:00:00Z,
listing_media_015_1,rielt_phuket_surin_015,media_rielt_phuket_surin_015_1,0,true,2026-03-31T12:00:00Z,
listing_media_016_1,rielt_bkk_phromphong_016,media_rielt_bkk_phromphong_016_1,0,true,2026-04-01T12:00:00Z,
listing_media_016_2,rielt_bkk_phromphong_016,media_rielt_bkk_phromphong_016_2,1,false,2026-04-01T12:00:00Z,
listing_media_016_3,rielt_bkk_phromphong_016,media_rielt_bkk_phromphong_016_3,2,false,2026-04-01T12:00:00Z,
listing_media_016_4,rielt_bkk_phromphong_016,media_rielt_bkk_phromphong_016_4,3,false,2026-04-01T12:00:00Z,
listing_media_017_1,rielt_bkk_phromphong_017,media_rielt_bkk_phromphong_017_1,0,true,2026-04-02T12:00:00Z,
listing_media_017_2,rielt_bkk_phromphong_017,media_rielt_bkk_phromphong_017_2,1,false,2026-04-02T12:00:00Z,
listing_media_017_3,rielt_bkk_phromphong_017,media_rielt_bkk_phromphong_017_3,2,false,2026-04-02T12:00:00Z,
listing_media_017_4,rielt_bkk_phromphong_017,media_rielt_bkk_phromphong_017_4,3,false,2026-04-02T12:00:00Z,
listing_media_018_1,rielt_bkk_ekkamai_018,media_rielt_bkk_ekkamai_018_1,0,true,2026-04-03T12:00:00Z,
listing_media_018_2,rielt_bkk_ekkamai_018,media_rielt_bkk_ekkamai_018_2,1,false,2026-04-03T12:00:00Z,
listing_media_018_3,rielt_bkk_ekkamai_018,media_rielt_bkk_ekkamai_018_3,2,false,2026-04-03T12:00:00Z,
listing_media_018_4,rielt_bkk_ekkamai_018,media_rielt_bkk_ekkamai_018_4,3,false,2026-04-03T12:00:00Z,
listing_media_019_1,rielt_danang_haichau_019,media_rielt_danang_haichau_019_1,0,true,2026-04-04T12:00:00Z,
listing_media_019_2,rielt_danang_haichau_019,media_rielt_danang_haichau_019_2,1,false,2026-04-04T12:00:00Z,
listing_media_019_3,rielt_danang_haichau_019,media_rielt_danang_haichau_019_3,2,false,2026-04-04T12:00:00Z,
listing_media_019_4,rielt_danang_haichau_019,media_rielt_danang_haichau_019_4,3,false,2026-04-04T12:00:00Z,
listing_media_020_1,rielt_danang_haichau_020,media_rielt_danang_haichau_020_1,0,true,2026-04-05T12:00:00Z,
listing_media_021_1,rielt_danang_sontra_021,media_rielt_danang_sontra_021_1,0,true,2026-04-06T12:00:00Z,
listing_media_021_2,rielt_danang_sontra_021,media_rielt_danang_sontra_021_2,1,false,2026-04-06T12:00:00Z,
listing_media_021_3,rielt_danang_sontra_021,media_rielt_danang_sontra_021_3,2,false,2026-04-06T12:00:00Z,
listing_media_021_4,rielt_danang_sontra_021,media_rielt_danang_sontra_021_4,3,false,2026-04-06T12:00:00Z,
listing_media_022_1,rielt_hcmc_thaodien_022,media_rielt_hcmc_thaodien_022_1,0,true,2026-04-07T12:00:00Z,
listing_media_022_2,rielt_hcmc_thaodien_022,media_rielt_hcmc_thaodien_022_2,1,false,2026-04-07T12:00:00Z,
listing_media_022_3,rielt_hcmc_thaodien_022,media_rielt_hcmc_thaodien_022_3,2,false,2026-04-07T12:00:00Z,
listing_media_022_4,rielt_hcmc_thaodien_022,media_rielt_hcmc_thaodien_022_4,3,false,2026-04-07T12:00:00Z,
listing_media_023_1,rielt_hcmc_thaodien_023,media_rielt_hcmc_thaodien_023_1,0,true,2026-04-08T12:00:00Z,
listing_media_024_1,rielt_hcmc_d3_024,media_rielt_hcmc_d3_024_1,0,true,2026-04-09T12:00:00Z,
listing_media_024_2,rielt_hcmc_d3_024,media_rielt_hcmc_d3_024_2,1,false,2026-04-09T12:00:00Z,
listing_media_024_3,rielt_hcmc_d3_024,media_rielt_hcmc_d3_024_3,2,false,2026-04-09T12:00:00Z,
listing_media_024_4,rielt_hcmc_d3_024,media_rielt_hcmc_d3_024_4,3,false,2026-04-09T12:00:00Z,
