listing_id,slug,title,description,listing_type,status,price_amount,price_currency,price_period,country_id,city_id,area_text,lat,lng,bedrooms,bathrooms,area_sqm,amenities,created_by_user_id,published_at,archived_at,deleted_at
rielt_phuket_surin_015,phuket-surin-015,Студия у Surin Beach,Короткий пляжный stay с быстрым check-in.,rent_short,published,3500,THB,day,thailand,phuket,Surin,7.975600,98.281200,0,1,31,wifi|aircon,user_pro_elena,2026-03-06T12:00:00Z,,
rielt_bkk_phromphong_016,bkk-phromphong-016,City stay у EmQuartier,Городской short-stay у BTS и торговых центров.,rent_short,published,3900,THB,day,thailand,bangkok,Phrom Phong,13.731500,100.569700,1,1,33,wifi|aircon,user_pro_maya,2026-03-07T12:00:00Z,,
rielt_bkk_phromphong_017,bkk-phromphong-017,2BR для релокации в Sukhumvit,Подходит для пары или семьи на 1–6 месяцев.,rent_long,published,52000,THB,month,thailand,bangkok,Phrom Phong,13.731900,100.570500,2,2,61,wifi|aircon|workspace,user_pro_maya,2026-03-08T12:00:00Z,,
rielt_bkk_ekkamai_018,bkk-ekkamai-018,1BR в Ekkamai для long stay,Тихий жилой вариант рядом с кафе и BTS.,rent_long,published,41000,THB,month,thailand,bangkok,Ekkamai,13.726200,100.584100,1,1,41,wifi|aircon|workspace,user_pro_maya,2026-03-09T12:00:00Z,,
rielt_danang_haichau_019,danang-haichau-019,1BR у набережной в Hai Chau,Городской вариант для длительного проживания.,rent_long,published,15000000,VND,month,vietnam,da_nang,Hai Chau,16.067800,108.220800,1,1,43,wifi|aircon|workspace,user_pro_ivan,2026-03-10T12:00:00Z,,
rielt_danang_haichau_020,danang-haichau-020,Студия в центре Дананга,Подходит для короткого city stay и первых дней в городе.,rent_short,published,1250000,VND,day,vietnam,da_nang,Hai Chau,16.068500,108.221400,0,1,26,wifi|aircon,user_pro_ivan,2026-03-11T12:00:00Z,,
rielt_danang_sontra_021,danang-sontra-021,Sea-view studio в Son Tra,Вариант с видом и коротким трансфером до пляжа.,rent_short,published,1650000,VND,day,vietnam,da_nang,Son Tra,16.090200,108.249600,0,1,30,wifi|aircon,user_pro_ivan,2026-03-12T12:00:00Z,,
rielt_hcmc_thaodien_022,hcmc-thaodien-022,1BR в Thao Dien для nomad stay,Комфортный long-stay для удалёнщика или пары.,rent_long,published,29000000,VND,month,vietnam,ho_chi_minh_city,Thao Dien,10.801100,106.731200,1,1,47,wifi|aircon|workspace,user_pro_artem,2026-03-13T12:00:00Z,,
rielt_hcmc_thaodien_023,hcmc-thaodien-023,Serviced studio в Thao Dien,Короткое проживание в expat-районе.,rent_short,published,1450000,VND,day,vietnam,ho_chi_minh_city,Thao Dien,10.801800,106.732000,0,1,28,wifi|aircon,user_pro_artem,2026-03-14T12:00:00Z,,
rielt_hcmc_d3_024,hcmc-d3-024,Бюджетный 1BR в District 3,Доступный вариант на месяц+ близко к центру.,rent_long,published,21000000,VND,month,vietnam,ho_chi_minh_city,District 3,10.784400,106.687800,1,1,36,wifi|aircon|workspace,user_pro_linh,2026-03-15T12:00:00Z,,
